Competition,Opponent,Opposition Score,Liverpool Score,Goal Margin,"Result (W, D or L)",Craig's Reaction (K),Watch along views (K)
FA Cup,Aston Villa,1,4,3,W,10,37
Premier League,Southampton,1,0,-1,L,24,66
Premier League,Newcastle,0,0,0,D,14,45
Premier League,West Brom,1,1,0,D,10,48
Premier League,Crystal Palace,0,7,7,W,10,61
Premier League,Tottenham,1,2,1,W,12,48
Premier League,Fulham,1,1,0,D,6,57
Champions League,Midtjylland,1,1,0,D,5,47
Premier League,Wolves,0,4,4,W,10,58
Champions League,Ajax,0,1,1,W,9,43
Premier League,Brighton,1,1,0,D,10,44
Champions League,Atalanta,2,0,-2,L,6,54
Premier League,Leicester,0,3,3,W,10,68
Premier League,Manchester City,1,1,0,D,9,78
Champions League,Atalanta,0,5,5,W,19,71
Premier League,West Ham,1,2,1,W,11,69
Champions League,Midtjylland,0,2,2,W,7,52
Premier League,Sheffield United,1,2,1,W,7,106
Champions League,Ajax,0,1,1,W,10,49
Premier League,Everton,2,2,0,D,24,88
Premier League,Aston Villa,7,2,-5,L,261,264
EFL Cup,Arsenal,1,0,-1,L,6,66
Premier League,Arsenal,1,3,2,W,14,71
EFL Cup,Lincoln,2,7,5,W,8,63
Premier League,Chelsea,0,2,2,W,15,128
Premier League,Leeds,3,4,1,W,11,42
