Competition,Opponent,Opposition Score,Tottenham Score,Goal Margin,"Result (W, D or L)",Expressionz Reaction (K),Watch along views (K)
Premier League,Fulham,1,1,0,D,85,57
FA Cup,Marine,0,5,5,W,31,0
EFL Cup,Brentford,0,2,2,W,47,74
Premier League,Leeds,0,3,3,W,47,60
Premier League,Wolves,1,1,0,D,91,87
EFL Cup,Stoke,1,3,2,W,61,59
Premier League,Leicester,2,0,-2,L,105,116
Premier League,Liverpool,2,1,-1,L,85,113
Premier League,Crystal Palace,1,1,0,D,47,49
Europa League,Antwerp,0,2,2,W,46,28
Premier League,Arsenal,0,2,2,W,152,118
Europa League,LASK,3,3,0,D,43,50
Premier League,Chelsea,0,0,0,D,38,65
Europa League,Ludogorets,0,4,4,W,24,27
Premier League,Manchester City,0,2,2,W,79,107
Premier League,West Brom,0,1,1,W,26,80
Europa League,Ludogorets,1,3,2,W,28,30
Premier League,Brighton,1,2,1,W,49,64
Europa League,Antwerp,1,0,-1,L,77,59
Premier League,Burnley,0,1,1,W,23,11
Europa League,LASK,0,3,3,W,35,47
Premier League,West Ham,3,3,0,D,165,130
Premier League,Manchester United,1,6,5,W,120,120
Europa League,Maccabi Haifa,2,7,5,W,47,0
EFL Cup,Chelsea,1,2,1,W,74,93
Premier League,Newcastle,1,1,0,D,131,68
Europa League,Shkendija,1,3,2,W,56,0
Premier League,Southampton,2,5,3,W,79,98
Europa League,Plovdiv,1,2,1,W,62,0
Premier League,Everton,1,0,-1,L,200,86
